Department,Department Name,Division,Gender,Base Salary,2024 Overtime Pay,2024 Longevity Pay,Grade
POL,Department of Police,POL 47 FSB Traffic Division Central Traffic Enforcement,M,115223,4851.27,6657.16,P4
POL,Department of Police,POL 47 MSB Communications Division,M,108899,10756.33,3361.18,N21
FRS,Fire and Rescue Services,FRS 45 Station 13,M,110232,7322.83,11766.09,F4
FRS,Fire and Rescue Services,FRS 45 Station 12,M,110232,61557.53,6040.3,F4
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,F,124464,19676.64,11903.04,24
POL,Department of Police,POL 47 PSB 3rd District Patrol,M,133078,15380.78,14188.96,A1
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,104197,16144.34,2936.55,20
CAT,County Attorney's Office,CAT 30 Finance and Procurement,F,87523,0,5490.56,N16
FRS,Fire and Rescue Services,FRS 45 Emergency Medical & Integrated Healthcare Services,M,136743,59925.19,14733.94,B2
FRS,Fire and Rescue Services,FRS 45 Second Battalion - Administration,M,157431,314.69,16963.13,B3
FRS,Fire and Rescue Services,FRS 45 Emergency Medical & Integrated Healthcare Services,M,173161,0,17720.5,B4
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,F,120882.07,0,0,24
DOT,Department of Transportation,DOT 50 Parking Management Parking Operations,F,70775,0,2184.48,11
FRS,Fire and Rescue Services,FRS 45 Emergency Communications Center (ECC),F,121266,5502.4,8479.98,B1
POL,Department of Police,POL 47 MSB Training and Education Division,M,115223,9666.51,5881.61,P4
POL,Department of Police,POL 47 FSB Traffic Division Collision Reconstruction,M,115223,18236.95,12285.18,P4
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,108899,6018.72,935.33,N21
DOT,Department of Transportation,DOT 50 Transportation Materials Testing Lab,M,118628.23,12695.87,10580.59,23
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OPS Radio Communications Services,M,104197,3143.02,6536.46,20
ABS,Alcohol Beverage Services,ABS 85 White Oak,M,95458,0,5988.29,N18
DOT,Department of Transportation,DOT 50 Highway Services,M,80227,5789.13,4346.07,15
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,76582.63,0,7268.09,16
DOT,Department of Transportation,DOT 50 Highway Services,M,91392,24708.59,8587.47,17
POL,Department of Police,POL 47 PSB 2nd District Station,F,99719,5566.27,6255.51,N19
DOT,Department of Transportation,DOT 50 Transit Nicholson Ride On,M,90927.54,21985.65,0,T1
DGS,Department of General Services,DGS 36 Facilities Maintenance,F,62575,350.22,1931.41,8
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,104197,0,6536.46,20
POL,Department of Police,POL 47 FSB Traffic Division School Safety Section,F,33946.57,24.98,2046.93,10
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 ODT Geographic Information System,M,149112,0,9354.05,N28
POL,Department of Police,POL 47 MSB Communications Division,M,106953,24919.18,0,N23
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,113837,470.05,7141.27,22
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,M,90927.54,54804.07,0,T1
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,M,90927.54,6913.83,0,T1
COR,Correction and Rehabilitation,COR 42 DS MCCF Unit 3 Security,M,127803,11026.24,3625.76,C1
FRS,Fire and Rescue Services,FRS 45 Emergency Communications Center (ECC),M,110232,48333,3828.96,F4
POL,Department of Police,POL 47 CRB Policy and Planning Division,M,115223,0,12285.18,P4
FRS,Fire and Rescue Services,FRS 45 Station 34,M,100215,1920.28,1214.19,F3
FRS,Fire and Rescue Services,FRS 45 Station 9,M,110232,7014.06,11766.18,F4
FRS,Fire and Rescue Services,FRS 45 Station 16,M,121266,75259.82,4423.45,B1
FRS,Fire and Rescue Services,FRS 45 Safety,M,173161,0,18483.1,B4
REC,Department of Recreation,REC 72 Youth Development Youth Services,M,108899,0,10414.6,21
POL,Department of Police,POL 47 PSB 6th District Patrol,M,133078,156836.38,14188.96,A1
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 ODT Geographic Information System,M,149112,0,9354.05,N28
DOT,Department of Transportation,DOT 50 Highway Services,M,80227,0,2889.79,15
FRS,Fire and Rescue Services,FRS 45 Station 29,M,136743,69873.92,14457.7,B2
POL,Department of Police,POL 47 PSB 2nd District Station,M,175193.05,2400.52,0,A2
COR,Correction and Rehabilitation,COR 42 DS MCCF Unit 3 Security,M,106349,6655.44,7193.42,C5
FRS,Fire and Rescue Services,FRS 45 Fourth Battalion - Administration,M,155681.74,311.2,15767.62,B3
COR,Correction and Rehabilitation,COR 42 DS Facility Operations Management,M,151800.52,0,0,M3
DGS,Department of General Services,DGS 36 Fleet Management Fleet Services,M,124464,2173.22,4945.23,N24
POL,Department of Police,POL 47 PSB 1st District Patrol,M,115223,31513.47,12285.18,P4
DOT,Department of Transportation,DOT 50 Transit Safety and Instruction,M,108899,13616.86,0,N21
FRS,Fire and Rescue Services,FRS 45 Station 9,M,100215,3192.02,3411.19,F3
FRS,Fire and Rescue Services,FRS 45 Station 25,M,121266,1902.18,792.93,B1
POL,Department of Police,POL 47 PSB 6th District Patrol,M,120984,13549.14,8268.47,P5
COR,Correction and Rehabilitation,COR 42 DS MCCF Unit 2 Security,M,106349,17547.44,3534.93,C5
SHF,Sheriff's Office,SHF 48 Attachments,M,113014,2833.76,3619.31,G4
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,76582.63,0,2153.78,16
FRS,Fire and Rescue Services,FRS 45 Training,M,110232,82223.14,7708.4,F4
FRS,Fire and Rescue Services,FRS 45 Station 20,M,136743,94836.16,7537.45,B2
FRS,Fire and Rescue Services,FRS 45 Fifth Battalion - Administration,M,121266,0,8479.98,B1
LIB,Department of Public Libraries,LIB 71 Davis Library,F,104197,0,6536.46,N20
FRS,Fire and Rescue Services,FRS 45 Station 8,M,110232,12776.5,3817.7,F4
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,65642.25,0,3703.2,16
DOT,Department of Transportation,DOT 50 Highway Services,M,94210.02,37349.63,0,N21
COR,Correction and Rehabilitation,COR 42 DS Health Services,M,124464,36325.57,7807.8,24
FRS,Fire and Rescue Services,FRS 45 Station 22,M,110232,70.97,11766.18,F4
FRS,Fire and Rescue Services,FRS 45 Station 35,M,136743,37798.43,14595.82,B2
FRS,Fire and Rescue Services,FRS 45 Rescue 2,M,110232,58372.3,0,F4
FRS,Fire and Rescue Services,FRS 45 Station 35,M,121266,23108.28,6684.34,B1
COR,Correction and Rehabilitation,COR 42 PTS Pre-Trial Services,F,80335,0,5039.68,14
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OMC MC311 Call Center,F,76986,0,2376.18,13
COR,Correction and Rehabilitation,COR 42 DS MCDC Custody and Security,F,106349,42398.28,3502.97,C5
POL,Department of Police,POL 47 PSB 6th District Patrol,M,115223,2279.21,10042.43,P4
COR,Correction and Rehabilitation,COR 42 DS MCCF Unit 2 Security,M,116789,1489.04,7341.43,C6
POL,Department of Police,POL 47 PSB 5th District Patrol,M,115223,50954.61,8048.63,P4
POL,Department of Police,POL 47 CRB Community Engagement Division Crisis Response & Support Section,F,115223,89.03,12285.18,P4
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,104197,3293.16,2009.42,20
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,76582.63,0,1690.18,16
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,95458,0,2946.31,18
LIB,Department of Public Libraries,LIB 71 Quince Orchard Library,F,31287.5,0,965.76,8
FRS,Fire and Rescue Services,FRS 45 Station 22,M,96826,0,0,F3
DOT,Department of Transportation,DOT 50 Transit Nicholson Ride On,M,90927.54,5721.37,0,T1
POL,Department of Police,POL 47 PSB 5th District Patrol,M,133078,26630.67,9295.69,A1
POL,Department of Police,POL 47 PSB 2nd District Special Assignment Team,M,115223,18679.08,5881.61,P4
DGS,Department of General Services,DGS 36 Fleet Management Fleet Services,M,99719,0,2617.98,19
FRS,Fire and Rescue Services,FRS 45 Station 11,M,136743,8642.54,4698.95,B2
POL,Department of Police,POL 47 PSB 3rd District Patrol,F,115223,22743.85,7898.04,P4
LIB,Department of Public Libraries,LIB 71 Kensington Park Library,M,108899,0,6831.44,21
FRS,Fire and Rescue Services,FRS 45 Station 15,M,136743,51135.94,14595.78,B2
POL,Department of Police,POL 47 PSB 2nd District Community Operations,M,115223,0,12285.18,P4
POL,Department of Police,POL 47 MSB Management and Budget Division False Alarm Reduction Unit,F,108899,4547.41,3238.39,21
COR,Correction and Rehabilitation,COR 42 DS MCDC Central Processing Unit,M,94208,17528.81,2411.13,C4
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,M,92036.29,17741.78,0,T1
DOT,Department of Transportation,DOT 50 Highway Services,M,108899,56108.71,4730.32,N21
DOT,Department of Transportation,DOT 50 Highway Services,M,95458,22481.34,0,N18
OCP,Office of Consumer Protection,OCP 39 Investigations,M,130181,0,4017.99,25
POL,Department of Police,POL 47 FSB Special Operations Division Tactical Operations Section,M,133078,53993.54,9295.69,A1
POL,Department of Police,POL 47 FSB Special Operations Division Tactical Operations Section,M,115223,16793.51,6036.72,P4
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,83837,14488.22,5259.22,15
ABS,Alcohol Beverage Services,ABS 85 Olney,F,95458,404.21,0,N18
FRS,Fire and Rescue Services,FRS 45 Field Operations Administration,M,110232,2962.45,0,F4
FRS,Fire and Rescue Services,FRS 45 Third Battalion - Administration,M,121266,47901.96,0,B1
FRS,Fire and Rescue Services,FRS 45 Station 8,M,100215,43670.5,0,F3
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,124464,0,7807.8,24
FRS,Fire and Rescue Services,FRS 45 Station 3,M,136743,71751.69,4743.46,B2
FRS,Fire and Rescue Services,FRS 45 Station 25,M,110232,11037.72,3017.02,F4
DOT,Department of Transportation,DOT 50 Transportation Technical Center,M,119032,26600.67,7467.13,N23
DOT,Department of Transportation,DOT 50 Transit Nicholson Ride On,F,92036.29,8646.05,0,T1
HHS,Department of Health and Human Services,HHS 60 Services to End and Prevent Homelessness Division,F,104197,0,6536.46,20
FRS,Fire and Rescue Services,FRS 45 First Battalion - Administration,M,157431,421.09,11009.03,B3
DOT,Department of Transportation,DOT 50 Transportation Management,M,149112,430.14,0,N28
POL,Department of Police,POL 47 MSB Information Management and Technology Division,M,95458,0,2648.84,18
POL,Department of Police,POL 47 FSB Security Services Division,M,83837,9651.07,4457.98,15
POL,Department of Police,POL 47 PSB 5th District Patrol,M,133078,1064.05,14188.96,A1
SHF,Sheriff's Office,SHF 48 Warrant Section,F,38493.11,0,2414.78,13
DEP,Department of Environmental Protection,DEP 80 Resource Conversion,M,91392,23174.79,0,N17
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,M,94253,25825.35,0,T1
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,124464,3066.18,10520.71,24
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,104197,13248.73,9964.8,20
FRS,Fire and Rescue Services,FRS 45 Station 4,M,100215,2544.59,3443.82,F3
FRS,Fire and Rescue Services,FRS 45 Station 30,M,106504,0,3785.48,F4
LIB,Department of Public Libraries,LIB 71 Gaithersburg Library,F,31287.5,0,1962.83,8
POL,Department of Police,POL 47 PSB 4th District Community Operations,M,115223,0,12285.18,P4
FRS,Fire and Rescue Services,FRS 45 Emergency Communications Center (ECC),M,100215,0,9136.4,F3
DGS,Department of General Services,DGS 36 Facilities Maintenance,M,91392,13662.42,1974.72,17
COR,Correction and Rehabilitation,COR 42 DS MCCF Unit 3 Security,M,101769,0,5371.32,C5
FRS,Fire and Rescue Services,FRS 45 Station 7,M,110232,1791.29,1335.51,F4
POL,Department of Police,POL 47 PSB 2nd District Special Assignment Team,M,133078,36476.9,14188.96,A1
FRS,Fire and Rescue Services,FRS 45 Emergency Communications Center (ECC),F,110232,23579.76,11766.1,F4
COR,Correction and Rehabilitation,COR 42 PTS Supervision,F,124464,429.84,11903.04,24
FIN,Department of Finance,FIN 32 Timekeeping and Payroll,F,119032,0,0,N23
POL,Department of Police,POL 47 HQ Office of the Chief,M,120984,0,8268.47,P5
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,87523,0,8370.23,16
COR,Correction and Rehabilitation,COR 42 PRRS Facility and Security,M,113837,19341.35,6562.83,22
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,M,95458,0,5988.2,18
FRS,Fire and Rescue Services,FRS 45 Station 24,M,136743,14170.75,3809.67,B2
DPS,Department of Permitting Services,DPS 75 Commercial Structural and Complex Structures,M,136188,0,4203.38,26
POL,Department of Police,POL 47 PSB 3rd District Patrol,M,133078,37422.69,14188.96,A1
POL,Department of Police,POL 47 PSB 5th District Special Assignment Team,M,115223,17919.57,5881.61,P4
HHS,Department of Health and Human Services,HHS 60 Children Youth and Family Services Division,F,87523,0,2701.48,16
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,93145.03,9456.11,0,T1
DOT,Department of Transportation,DOT 50 Highway Services,M,95458,19167.26,0,N18
FRS,Fire and Rescue Services,FRS 45 Station 10,M,100215,52029.1,2792.04,F3
POL,Department of Police,POL 47 PSB 6th District Patrol,F,115223,344.03,3955.13,P4
FRS,Fire and Rescue Services,FRS 45 Station 19,M,136743,51857.22,14733.94,B2
LIB,Department of Public Libraries,LIB 71 Germantown Library,F,57739.5,0,5546.63,13
POL,Department of Police,POL 47 FSB Traffic Division School Safety Section,F,33946.57,49.95,2032.33,10
LIB,Department of Public Libraries,LIB 71 Kensington Park Library,F,95458,0,9074.12,18
REC,Department of Recreation,REC 72 Countywide Programs,M,108899,0,6831.44,21
DOT,Department of Transportation,DOT 50 Highway Services,M,83837,14064.44,314.4,15
OCP,Office of Consumer Protection,OCP 39 Investigations,F,120947,0,2094.42,25
POL,Department of Police,POL 47 PSB 4th District Patrol,M,111326,6979.62,0,P4
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,F,94885.79,18787.63,2602.79,18
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,M,92036.29,14187.74,0,T1
DOT,Department of Transportation,DOT 50 Transit Central Communication,M,95458,6584.24,2062.66,18
DGS,Department of General Services,DGS 36 Fleet Management Administration,M,104210,0,3950.83,21
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,M,94253,3025.9,0,T1
POL,Department of Police,POL 47 FSB Traffic Division School Safety Section,F,35012.99,0,0,10
POL,Department of Police,POL 47 FSB Traffic Division School Safety Section,F,33946.57,0,1622.49,10
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,119104,0,2549.23,24
POL,Department of Police,POL 47 FSB Traffic Division School Safety Section,F,33946.57,0,1640.62,10
DGS,Department of General Services,DGS 36 Fleet Management Fleet Services,M,91392,16162.15,2820.75,17
SHF,Sheriff's Office,SHF 48 Court and Transport,M,104997,5443.55,4816.76,G4
DOT,Department of Transportation,DOT 50 Director Management Services,F,95458,0,5988.2,18
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,65134,225.3,2010.47,9
FRS,Fire and Rescue Services,FRS 45 Special Operations,M,157431,0,16804.16,B3
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,M,156271.86,0,0,M3
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,104197,74.25,3216,20
HHS,Department of Health and Human Services,HHS 60 Office of Community Affairs Division,F,95458,0,5769.44,18
FRS,Fire and Rescue Services,FRS 45 Station 35,M,110232,64457.69,9053.02,F4
POL,Department of Police,POL 47 PSB 2nd District Patrol,F,87523,6564.23,8370.23,16
COR,Correction and Rehabilitation,COR 42 DS MCDC Custody and Security,F,106349,18218.79,1257.68,C5
POL,Department of Police,POL 47 FSB Security Services Division,M,108899,8311.28,10414.6,21
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,M,113014,30625.77,3619.31,G4
ABS,Alcohol Beverage Services,ABS 85 Poolesville,M,108899,0,6831.44,N21
POL,Department of Police,POL 47 PSB 1st District Patrol,M,115223,73589.84,12285.18,P4
COR,Correction and Rehabilitation,COR 42 DS Gang Intelligence,M,116789,36253.1,3881.97,C6
POL,Department of Police,POL 47 PSB 5th District Patrol,M,115223,64686.67,12285.18,P4
POL,Department of Police,POL 47 PSB 6th District Patrol,F,115223,2143.6,0,P4
POL,Department of Police,POL 47 PSB 3rd District Patrol,M,120984,5066.58,12899.5,P5
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,90927.54,24167.59,0,T1
POL,Department of Police,POL 47 PSB 1st District Patrol,M,120984,24767.12,12899.5,P5
DOT,Department of Transportation,DOT 50 Highway Administration,M,99719,8798.2,6255.51,19
CAT,County Attorney's Office,"CAT 30 Zoning, Land Use and Economic Development",M,160808.83,0,0,N32
DGS,Department of General Services,DGS 36 Fleet Management Fleet Services,M,99719,6386.31,2965.41,19
FRS,Fire and Rescue Services,FRS 45 Station 18,M,110232,2312.75,6076.22,F4
DPS,Department of Permitting Services,DPS 75 Land Development Right-of-Way Inspection,M,119032,0,446.37,23
DGS,Department of General Services,DGS 36 Fleet Management Fleet Services,M,99719,2205.87,2270.55,19
COR,Correction and Rehabilitation,COR 42 DS MCDC Custody and Security,M,127803,4850.97,13195.08,C1
DOT,Department of Transportation,DOT 50 Highway Services,M,108899,36996.99,6831.44,N21
